127.0.0.1, 2021-02-18 21:40:32, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.761518
127.0.0.1, 2021-02-18 21:41:13, POST, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.036054
127.0.0.1, 2021-02-18 21:41:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.237494
127.0.0.1, 2021-02-18 21:41:32, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.538680
127.0.0.1, 2021-02-18 21:42:19, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 0.131910
127.0.0.1, 2021-02-18 21:42:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:44:07, POST, /admin/default/create_file, HTTP/1.1, 303, 0.024542
127.0.0.1, 2021-02-18 21:44:07, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 0.157618
127.0.0.1, 2021-02-18 21:44:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:44:13, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.071548
127.0.0.1, 2021-02-18 21:44:14, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.024235
127.0.0.1, 2021-02-18 21:44:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:44:14, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.654415
127.0.0.1, 2021-02-18 21:44:14, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.668206
127.0.0.1, 2021-02-18 21:44:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.664934
127.0.0.1, 2021-02-18 21:44:14, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.633441
127.0.0.1, 2021-02-18 21:44:15, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.452301
127.0.0.1, 2021-02-18 21:45:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.227429
127.0.0.1, 2021-02-18 21:45:16, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.892630
127.0.0.1, 2021-02-18 21:46:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.248996
127.0.0.1, 2021-02-18 21:46:15, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.358088
127.0.0.1, 2021-02-18 21:46:22, POST, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.034461
127.0.0.1, 2021-02-18 21:47:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.354508
127.0.0.1, 2021-02-18 21:47:15, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.556443
127.0.0.1, 2021-02-18 21:48:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.242623
127.0.0.1, 2021-02-18 21:48:16, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.888139
127.0.0.1, 2021-02-18 21:49:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.311408
127.0.0.1, 2021-02-18 21:49:16, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 2.056761
127.0.0.1, 2021-02-18 21:49:42, GET, /admin, HTTP/1.1, 303, 0.026638
127.0.0.1, 2021-02-18 21:49:42, GET, /admin/default/site, HTTP/1.1, 200, 0.346517
127.0.0.1, 2021-02-18 21:49:43, GET, /favicon.ico, HTTP/1.1, 400, 0.004022
127.0.0.1, 2021-02-18 21:50:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.325265
127.0.0.1, 2021-02-18 21:50:17, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 2.276278
127.0.0.1, 2021-02-18 21:50:41, GET, /admin/bmenn/basics/helloworld, HTTP/1.1, 404, 0.006132
127.0.0.1, 2021-02-18 21:50:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:51:14, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.429200
127.0.0.1, 2021-02-18 21:51:16, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.739937
127.0.0.1, 2021-02-18 21:51:27, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 0.191063
127.0.0.1, 2021-02-18 21:51:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:51:31, GET, /admin/bmenn/basics/helloworld, HTTP/1.1, 404, 0.097615
127.0.0.1, 2021-02-18 21:51:31, GET, /favicon.ico, HTTP/1.1, 400, 0.005336
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/basics/helloworld, HTTP/1.1, 200, 0.293125
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.026382
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/css/calendar.css, HTTP/1.1, 200, 0.017153
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.015579
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/js/jquery.js, HTTP/1.1, 200, 0.015396
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/js/calendar.js, HTTP/1.1, 200, 0.011380
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.022721
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/js/web2py.js, HTTP/1.1, 200, 0.017459
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.013011
127.0.0.1, 2021-02-18 21:52:06, GET, /bmenn/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.006980
127.0.0.1, 2021-02-18 21:52:07, GET, /bmenn/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-02-18 21:56:51, GET, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.446583
127.0.0.1, 2021-02-18 21:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.003538
127.0.0.1, 2021-02-18 21:56:52, GET, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.601471
127.0.0.1, 2021-02-18 21:56:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.754419
127.0.0.1, 2021-02-18 21:56:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.785184
127.0.0.1, 2021-02-18 21:56:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.905937
127.0.0.1, 2021-02-18 21:56:52, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.328242
127.0.0.1, 2021-02-18 21:56:55, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 3.015707
127.0.0.1, 2021-02-18 21:56:58, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 1.827359
127.0.0.1, 2021-02-18 21:56:59, GET, /favicon.ico, HTTP/1.1, 400, 0.004599
127.0.0.1, 2021-02-18 21:57:21, GET, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.162794
127.0.0.1, 2021-02-18 21:57:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:57:22, GET, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.327111
127.0.0.1, 2021-02-18 21:57:22, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.336711
